"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 12 18:53:40 UTC 2026","Wed Aug 12 18:53:41 UTC 2026","1182","LMS","AUTHENTICATION","AUTHORISATION","","","Dashboard available after authorisation with proper email and password",""
"passed","Wed Aug 12 18:56:14 UTC 2026","Wed Aug 12 18:56:16 UTC 2026","1949","LMS","DASHBOARD","DASHBOARD","","","Check charts on Dashboard page",""
"passed","Wed Aug 12 18:55:47 UTC 2026","Wed Aug 12 18:55:49 UTC 2026","2208","LMS","COURSES","COURSES","","","Try to create course with 0 max score",""
"passed","Wed Aug 12 18:54:13 UTC 2026","Wed Aug 12 18:54:15 UTC 2026","2585","LMS","AUTHENTICATION","REGISTRATION","","","Register with email and password",""
"passed","Wed Aug 12 18:53:21 UTC 2026","Wed Aug 12 18:53:22 UTC 2026","1324","LMS","AUTHENTICATION","AUTHORISATION","","","Testing authorisation with wrong email or wrong password",""
"passed","Wed Aug 12 18:56:17 UTC 2026","Wed Aug 12 18:56:19 UTC 2026","1337","LMS","DASHBOARD","DASHBOARD","","","Check Dashboard page items visibility",""
"passed","Wed Aug 12 18:53:45 UTC 2026","Wed Aug 12 18:53:48 UTC 2026","3102","LMS","AUTHENTICATION","AUTHORISATION","","","Testing authorisation with proper email and password",""
"passed","Wed Aug 12 18:55:42 UTC 2026","Wed Aug 12 18:55:45 UTC 2026","3002","LMS","COURSES","COURSES","","","Try to create course with empty description",""
"passed","Wed Aug 12 18:55:41 UTC 2026","Wed Aug 12 18:55:44 UTC 2026","3040","LMS","COURSES","COURSES","","","Try to create course with empty estimated time",""
"passed","Wed Aug 12 18:54:30 UTC 2026","Wed Aug 12 18:54:36 UTC 2026","5537","LMS","COURSES","COURSES","","","Change existing course",""
"passed","Wed Aug 12 18:54:36 UTC 2026","Wed Aug 12 18:54:39 UTC 2026","3511","LMS","COURSES","COURSES","","","Delete existing course",""
"passed","Wed Aug 12 18:54:09 UTC 2026","Wed Aug 12 18:54:11 UTC 2026","1855","LMS","AUTHENTICATION","REGISTRATION","","","Register with email and password",""
"passed","Wed Aug 12 18:53:29 UTC 2026","Wed Aug 12 18:53:31 UTC 2026","2226","LMS","AUTHENTICATION","AUTHORISATION","","","Testing authorisation with wrong email or wrong password",""
"passed","Wed Aug 12 18:54:01 UTC 2026","Wed Aug 12 18:54:03 UTC 2026","1922","LMS","AUTHENTICATION","AUTHORISATION","","","User is returned to Login page after logout",""
